Number,Priority,Requested for,Configuration item,Short description,State,Assignment group,Assigned to,Child Incidents,Updated,Updated by,Category,Resolution notes,Detailed description,Work notes,Closed by,Created by,Opened by,Reassignment count,Resolved by,Created,Resolved,Resolve time,Days Open
INC1526474,4 - Low,CSDT CSDT,CMDocumentToGuidingCareLinkID,PRD Tidal Job CMDocumentToGuidingCareLinkID | 20227244 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Poormitha Kalapala,0,09-11-2025 10:00:09 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/28/2025 10:16:26 AM - Poormitha Kalapala (Work notes)
Task has been completed; Data has been processed. But due to 'ACTIVE TRANSACTION' completed abnormally.

08/26/2025 02:00:24 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/26/2025 02:00:24 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",,CSDT,CSDT CSDT,0,Poormitha Kalapala,08-26-2025 02:00:24 AM,08-28-2025 10:16:26 AM,202562,16
INC1534455,4 - Low,CSDT CSDT,IdentifyManifestFiles,PRD Tidal Job IdentifyManifestFiles | 20305129 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Divya Suma Pentamraju,0,09-24-2025 04:00:11 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"09/10/2025 09:17:47 AM - CSDT CSDT (Work notes)
Parent:\CDA\AlmaTranslations | Agent: DAYPRDAPP07

09/10/2025 09:17:47 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

09/10/2025 07:15:39 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

09/10/2025 07:15:39 AM - CSDT CSDT (Work notes)
Parent:\CDA\AlmaTranslations | Agent: DAYPRDAPP07

",,CSDT CSDT,CSDT CSDT,0,Divya Suma Pentamraju,09-10-2025 07:15:39 AM,09-11-2025 04:45:03 PM,120564,14
INC1534454,4 - Low,CSDT CSDT,ProcessTocCases,PRD Tidal Job ProcessTocCases | 20304434 | Completed Abnormally,Closed,MgdSvc-ITCS - UM Integration,Sairam Govindarajulu,0,10-14-2025 11:52:52 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"09/10/2025 07:12:22 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

09/10/2025 07:12:22 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",Tara Brigner,CSDT,CSDT CSDT,0,Sairam Govindarajulu,09-10-2025 07:12:22 AM,09-10-2025 12:54:12 PM,20510,13
INC1522694,4 - Low,CSDT CSDT,CMDocumentToGCErrorDescription,PRD Tidal Job CMDocumentToGCErrorDescription | 20193804 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Prakash Singh,0,10-14-2025 11:45:32 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/19/2025 02:02:24 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/19/2025 02:02:24 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Prakash Singh,08-19-2025 02:02:24 AM,08-20-2025 04:26:42 AM,95058,14
INC1574367,4 - Low,CSDT CSDT,CotivitiProcessResultFile,PRD Tidal Job CotivitiProcessResultFile | 20680437 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Sairam Govindarajulu,0,12-12-2025 09:20:37 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/18/2025 01:31:45 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/18/2025 01:31:45 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Sairam Govindarajulu,11-18-2025 01:31:45 PM,11-19-2025 04:35:29 PM,97424,15
INC1493673,4 - Low,CSDT CSDT,CaptureTranslatedLetterData,PRD Tidal Job CaptureTranslatedLetterData | 19942477 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Dudekula Ahmad,0,07-11-2025 04:55:12 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/28/2025 06:55:01 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/28/2025 06:55:01 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 06:39:31 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/28/2025 06:39:31 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 06:24:01 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 06:24:01 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/28/2025 06:08:32 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 06:08:32 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/28/2025 02:16:30 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/28/2025 02:16:30 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 07:32:08 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 07:32:08 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 07:16:22 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 07:16:22 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 07:00:34 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 07:00:34 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 06:44:47 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 06:44:47 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 06:28:58 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 06:28:58 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 06:13:11 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/27/2025 06:13:10 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 05:57:22 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

06/27/2025 05:57:22 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT CSDT,CSDT CSDT,0,Dudekula Ahmad,06-27-2025 05:57:22 PM,06-30-2025 07:12:04 AM,220482,14
INC1521184,4 - Low,CSDT CSDT,UM-PAErrorAuth,PRD Tidal Job UM-PAErrorAuth | 20181769 | Completed Abnormally,Closed,MgdSvc-ITCS - UM Integration,Prakash Singh,0,08-28-2025 05:02:20 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/15/2025 09:00:24 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/15/2025 09:00:24 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Prakash Singh,08-15-2025 09:00:24 AM,08-18-2025 02:31:05 AM,235841,13
INC1486934,4 - Low,CSDT CSDT,CareTeamPCPToGuidingCareResponses,PRD Tidal Job CareTeamPCPToGuidingCareResponses | 19891938 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Dudekula Ahmad,0,06-30-2025 04:47:59 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/17/2025 07:11:56 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/17/2025 07:11:56 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,06-17-2025 07:11:56 AM,06-18-2025 05:46:22 AM,81266,13
INC1564019,4 - Low,CSDT CSDT,PACWLOBExtract,PRD Tidal Job PACWLOBExtract | 20587124 | Completed Abnormally,Closed,ITCS - Clinical Automation,Shristi Malla,0,11-14-2025 09:00:12 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/01/2025 07:05:12 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

11/01/2025 07:05:12 PM - CSDT CSDT (Work notes)
Parent:\CDA\StageMdpData | Agent: DAYPRDAPP07

",,CSDT,CSDT CSDT,1,Shristi Malla,11-01-2025 07:05:12 PM,11-03-2025 09:49:03 AM,143031,13
INC1535090,4 - Low,CSDT CSDT,ProcessTocCases,PRD Tidal Job ProcessTocCases | 20309585 | Completed Abnormally,Closed,MgdSvc-ITCS - UM Integration,Jagan Mohan,1,10-14-2025 11:52:52 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"09/11/2025 07:13:24 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

09/11/2025 07:13:24 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",Tara Brigner,CSDT,CSDT CSDT,0,Jagan Mohan,09-11-2025 07:13:24 AM,09-12-2025 10:06:27 AM,96783,14
INC1514375,4 - Low,CSDT CSDT,UMDiscrepancy,PRD Tidal Job UMDiscrepancy | 20127464 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Divya Suma Pentamraju,0,08-19-2025 10:00:17 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/04/2025 08:12:18 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/04/2025 08:12:18 AM - CSDT CSDT (Work notes)
Parent:\CDA\UMDiscrepancy | Agent: DAYPRDAPP07

",System Administrator,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,08-04-2025 08:12:18 AM,08-06-2025 10:09:56 AM,179858,15
INC1568847,4 - Low,CSDT CSDT,ProcessNCentaurusGrievanceAppeals,PRD Tidal Job ProcessNCentaurusGrievanceAppeals | 20599360 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Shivani Fulara,0,11-25-2025 05:00:08 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/13/2025 08:22:54 AM - Shivani Fulara (Work notes)
Duplicate ticket : INC1570770

11/09/2025 07:02:36 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/09/2025 07:02:36 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Shivani Fulara,11-09-2025 07:02:36 AM,11-13-2025 08:22:54 AM,350418,16
INC1503137,4 - Low,CSDT CSDT,CotivitiProcessResultFile,PRD Tidal Job CotivitiProcessResultFile | 20060583 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Dudekula Ahmad,0,07-25-2025 04:19:37 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/15/2025 03:23:34 AM - Benjamin White (Work notes)
Work notes from INCTASK0281358:

Job is now active in Tidal PRD

07/14/2025 07:31:47 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/14/2025 07:31:47 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,07-14-2025 07:31:47 PM,07-15-2025 05:24:33 AM,35566,11
INC1545765,4 - Low,CSDT CSDT,FicoMonitoring,PRD Tidal Job FicoMonitoring | 20401614 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Systems Support,Poormitha Kalapala,0,10-14-2025 10:00:10 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/01/2025 10:13:52 AM - Poormitha Kalapala (Work notes)
Server performance issue.
Ran manuallyand completed the task.

10/01/2025 02:40:12 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

10/01/2025 02:40:12 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Poormitha Kalapala,10-01-2025 02:40:12 AM,10-01-2025 10:13:52 AM,27220,13
INC1584587,4 - Low,CSDT CSDT,CreateUsersToSailPointIntegration,PRD Tidal Job CreateUsersToSailPointIntegration | 20758340 | Completed Abnormally,Resolved,MgdSvc-ITCS - Care Management,Shivani Fulara,0,12-12-2025 09:20:48 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"12/08/2025 10:30:01 PM - Shivani Fulara (Work notes)
Due to blank records it completed abnormally

12/07/2025 10:00:22 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

12/07/2025 10:00:22 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Shivani Fulara,12-07-2025 10:00:22 AM,12-08-2025 10:30:01 PM,131379,15
INC1573676,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20675211 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,12-12-2025 09:23:01 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/17/2025 01:38:13 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/17/2025 01:38:13 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,11-17-2025 01:38:13 PM,11-19-2025 12:04:05 PM,167152,16
INC1586169,4 - Low,CSDT CSDT,PAFaxMonitoringAlert,PRD Tidal Job PAFaxMonitoringAlert | 20745839 | Completed Abnormally,Resolved,MgdSvc-ITCS - Care Management,Srinivasa Ranga,0,12-12-2025 09:22:39 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"12/09/2025 03:20:10 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

12/09/2025 03:20:10 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,1,Srinivasa Ranga,12-09-2025 03:20:10 PM,12-09-2025 04:13:06 PM,3176,13
INC1537092,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20362447 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,10-14-2025 11:58:15 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"09/15/2025 01:35:02 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

09/15/2025 01:35:02 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",Tara Brigner,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,09-15-2025 01:35:02 PM,09-16-2025 04:06:13 PM,95471,14
INC1519683,4 - Low,CSDT CSDT,CreateNotesInGuidingCare,PRD Tidal Job CreateNotesInGuidingCare | 20165110 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Dudekula Ahmad,0,08-25-2025 04:33:21 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/13/2025 04:06:21 AM - Daniel Hill (Work notes)
Work notes from INCTASK0285588:

20165110 now active

08/13/2025 01:10:13 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/13/2025 01:10:13 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,08-13-2025 01:10:13 AM,08-13-2025 05:42:24 AM,16331,12
INC1488317,4 - Low,CSDT CSDT,ArchiveAssessmentToGuidingCare,PRD Tidal Job ArchiveAssessmentToGuidingCare | 19928155 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Prakash Singh,0,07-02-2025 04:24:53 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/19/2025 01:30:10 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/19/2025 01:30:10 AM - CSDT CSDT (Work notes)
Parent:\CTS\SSIS | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Prakash Singh,06-19-2025 01:30:10 AM,06-20-2025 01:55:36 AM,87926,13
INC1493930,4 - Low,CSDT CSDT,LetterDispositionVerification,PRD Tidal Job LetterDispositionVerification | 19941649 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Dudekula Ahmad,0,07-11-2025 04:55:14 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/30/2025 07:14:20 AM - Aaron Gwinn (Work notes)
Work notes from INCTASK0278852:

Rerun started.

06/28/2025 06:30:17 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 06:30:17 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,06-28-2025 06:30:17 AM,06-30-2025 07:27:04 AM,176207,13
INC1500134,4 - Low,CSDT CSDT,CreateVendorInboundDocGCComplaintDocLoad,PRD Tidal Job CreateVendorInboundDocGCComplaintDocLoad | 19994386 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Dudekula Ahmad,0,07-21-2025 04:15:24 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/08/2025 11:07:59 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

07/08/2025 11:07:59 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,07-08-2025 11:07:59 PM,07-09-2025 06:59:55 AM,28316,13
INC1525257,4 - Low,CSDT CSDT,MemberCareTeamToGuidingCareResponses,PRD Tidal Job MemberCareTeamToGuidingCareResponses | 20219374 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Poormitha Kalapala,0,09-08-2025 04:23:57 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/26/2025 03:17:48 AM - Poormitha Kalapala (Work notes)
Task has been completed, But due to timeout job completed abnormally.

08/23/2025 07:10:33 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/23/2025 07:10:33 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Poormitha Kalapala,08-23-2025 07:10:33 AM,08-26-2025 03:17:48 AM,245235,16
INC1567124,4 - Low,CSDT CSDT,ProcessNCentaurusGrievanceAppeals,PRD Tidal Job ProcessNCentaurusGrievanceAppeals | 20585402 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Shivani Fulara,0,11-24-2025 05:00:10 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/12/2025 08:03:18 AM - Shivani Fulara (Work notes)
Duplicate ticket INC1569138

11/12/2025 08:02:57 AM - Shivani Fulara (Work notes)
Duplicate ticket INC1569138

11/06/2025 07:02:17 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/06/2025 07:02:17 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Shivani Fulara,11-06-2025 07:02:17 AM,11-12-2025 08:02:57 AM,522040,18
INC1499661,4 - Low,CSDT CSDT,MP_CASE_MGMT,PRD Tidal Job MP_CASE_MGMT | 19990598 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Dudekula Ahmad,0,07-21-2025 04:16:32 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/08/2025 10:01:52 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/08/2025 10:01:52 AM - CSDT CSDT (Work notes)
Parent:\CareModel\MEMBER_PROFILE\MEMBER_PROFILE_SSIS | Agent: DAYPRDAPP07

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,07-08-2025 10:01:52 AM,07-09-2025 07:13:48 AM,76316,13
